1  0.005500	0.006000
2  0.005700	0.003500
3  0.005800	0.002400
4  0.005600	0.001800
5  0.005700	0.002800
6  0.005700	0.002700
7  0.005700	0.002800
8  0.005800	0.002900
9  0.005400	0.002900
10  0.005700	0.002700
11  0.005600	0.002700
12  0.005600	0.002800
13  0.005700	0.003000
14  0.005900	0.003100
15  0.005500	0.002900
16  0.005700	0.003000
17  0.005500	0.002800
18  0.005900	0.003000
19  0.005500	0.003000
20  0.005600	0.002900
21  0.005800	0.003100
22  0.005700	0.003200
23  0.005800	0.003000
24  0.005700	0.003100
25  0.005600	0.003100
26  0.005600	0.002900
27  0.005600	0.002700
28  0.005600	0.003000
29  0.005700	0.002800
30  0.005600	0.002700
31  0.005600	0.002900
32  0.005400	0.002800
