1  0.000600	0.000600
2  0.000600	0.000300
3  0.000600	0.000300
4  0.000600	0.000200
5  0.000600	0.000500
6  0.000600	0.000400
7  0.000600	0.000400
8  0.000600	0.000500
9  0.000600	0.000500
10  0.000600	0.000600
11  0.000600	0.000600
12  0.000600	0.000700
13  0.000600	0.000800
14  0.000600	0.000800
15  0.000600	0.000800
16  0.000600	0.000900
17  0.000600	0.000900
18  0.000600	0.000900
19  0.000600	0.000900
20  0.000600	0.001000
21  0.000600	0.001000
22  0.000600	0.001000
23  0.000600	0.001000
24  0.000600	0.001100
25  0.000600	0.001100
26  0.000600	0.001100
27  0.000600	0.001100
28  0.000600	0.001200
29  0.000600	0.001200
30  0.000600	0.001200
31  0.000600	0.001200
32  0.000600	0.001200
