1  0.047700	0.053500
2  0.048700	0.028800
3  0.048200	0.019100
4  0.048200	0.014800
5  0.048700	0.021000
6  0.048200	0.019400
7  0.048200	0.019000
8  0.047700	0.018700
9  0.048200	0.018400
10  0.047700	0.018100
11  0.047700	0.018600
12  0.047700	0.017900
13  0.047700	0.018600
14  0.047700	0.018900
15  0.047700	0.017700
16  0.047700	0.017900
17  0.047700	0.018900
18  0.048300	0.018300
19  0.048200	0.018300
20  0.047700	0.017700
21  0.047800	0.018000
22  0.047700	0.017700
23  0.047700	0.018500
24  0.048200	0.018100
25  0.048200	0.017700
26  0.047700	0.017900
27  0.047700	0.017400
28  0.047700	0.017600
29  0.047700	0.017500
30  0.047700	0.017300
31  0.047700	0.017100
32  0.047700	0.017700
